PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,RESPONSE_VALUE_MEKK2MT
RESULT_TYPE,,,,,,,FLOAT
RESULT_DESCR,,,,,,,Percent response of Alexa488-MEK5 binding to MEKK2 Mutant
RESULT_UNIT,,,,,,,PERCENT
RESULT_ATTR_CONC_MICROMOL,,,,,,,10
2209,17510997,4108756,Inactive,4,,,3
2210,17511025,9552671,Inactive,10,,,-3
2211,17511029,3967318,Inactive,11,,,-4
2212,17511036,1266530,Inactive,13,,,-6
2213,17511057,2788609,Inactive,10,,,-3
2214,17511063,5018325,Inactive,6,,,1
2215,17511064,3877173,Inactive,12,,,-5
2216,17511083,3364965,Inactive,1,,,6
2217,17511096,5200879,Inactive,10,,,-3
2218,17511106,135517010,Inactive,29,,,-22
2219,17511126,20846862,Inactive,7,,,0
2220,17511136,3527788,Inactive,8,,,-1
2221,17511145,4284744,Inactive,7,,,0
2222,17511318,5293145,Inactive,5,,,2
2223,17511369,1389664,Inactive,6,,,1
2224,17511374,6052679,Inactive,8,,,-1
2225,17511396,9660538,Inactive,6,,,1
2226,17511444,3763904,Inactive,5,,,2
2227,17511463,1239093,Inactive,4,,,3
2228,17511505,3291305,Inactive,9,,,-2
2229,17511518,135517037,Inactive,7,,,0
2230,17511522,3376483,Inactive,8,,,-1
2231,17511547,3373363,Inactive,9,,,-2
2232,17511550,1952060,Inactive,5,,,2
2233,17511556,12005534,Inactive,1,,,6
2234,17511565,6883882,Inactive,11,,,-4
2235,17511566,6883743,Inactive,4,,,3
2236,17511592,9553296,Inactive,15,,,-8
2237,17511618,12005539,Inactive,13,,,-6
2238,17511639,11415993,Inactive,0,,,7
2239,17511640,12005545,Inactive,9,,,-2
2240,17511691,9557678,Inactive,12,,,-5
2241,17511712,9634527,Inactive,9,,,-2
2242,17511743,12005559,Inactive,5,,,2
2243,17511745,12005561,Inactive,4,,,11
2244,17511753,7370903,Inactive,1,,,6
2245,17511761,3340300,Inactive,2,,,5
2246,17511781,135424475,Active,100,,Activator,181
2247,17511783,6537808,Inactive,5,,,2
2248,17511800,918936,Inactive,6,,,1
2249,17511801,4261644,Inactive,3,,,4
2250,17511845,1568575,Inactive,5,,,2
2251,17511855,3758489,Inactive,4,,,3
2252,17511878,921918,Inactive,7,,,0
2253,17511923,6509573,Inactive,10,,,-3
2254,17511953,135517057,Inactive,4,,,3
2255,17511955,1418955,Inactive,4,,,3
2256,17511966,760039,Inactive,6,,,1
2257,17511967,135517061,Inactive,4,,,3
2258,17511989,3721255,Inactive,5,,,2
2259,17511991,3718852,Inactive,9,,,16
2260,17512002,1366615,Inactive,7,,,0
2261,17512009,3779733,Inactive,11,,,-4
2262,17512051,135398919,Inactive,8,,,-1
2263,17512055,12005582,Inactive,6,,,1
2264,17512056,12005583,Inactive,12,,,-5
2265,17512096,3279038,Inactive,6,,,1
2266,17512099,3514320,Inactive,4,,,11
2267,17512100,902588,Inactive,12,,,-5
2268,17512101,5168301,Inactive,11,,,-4
2269,17512103,5520462,Inactive,9,,,-2
2270,17512110,6882968,Inactive,7,,,0
2271,17512115,9633140,Inactive,11,,,-4
2272,17512131,6401679,Inactive,2,,,9
2273,17512135,3729816,Inactive,9,,,-2
2274,17512137,1926033,Inactive,3,,,4
2275,17512140,3521138,Inactive,11,,,-4
2276,17512147,3577292,Inactive,3,,,4
2277,17512150,3808658,Inactive,10,,,-3
2278,17512164,5424409,Inactive,7,,,14
2279,17512169,832843,Inactive,8,,,-1
2280,17512172,217732,Inactive,16,,,-9
2281,17512180,12005598,Inactive,46,,,53
2282,17512184,11911407,Inactive,8,,,-1
2283,17512232,3722411,Inactive,3,,,4
2284,17512237,3735797,Inactive,3,,,4
2285,17512243,4361486,Inactive,15,,,-8
2286,17512252,135505993,Inactive,18,,,25
2287,17512255,2779849,Inactive,10,,,-3
2288,17512261,3538021,Inactive,11,,,-4
2289,17512267,1848242,Inactive,4,,,3
2290,17512269,1163011,Inactive,11,,,-4
2291,17512273,135493369,Inactive,9,,,-2
2292,17512274,12005609,Inactive,42,,,49
2293,17512285,3592175,Inactive,7,,,0
2294,17512294,135517081,Inactive,4,,,3
2295,17512309,916007,Inactive,1,,,8
2296,17512311,3836113,Inactive,9,,,-2
2297,17512318,1931033,Inactive,22,,,-15
2298,17512321,901745,Inactive,16,,,-9
2299,17512337,12005616,Inactive,6,,,1
2300,17512346,2728966,Inactive,8,,,-1
2301,17512351,2817883,Inactive,10,,,-3
2302,17512357,1938169,Inactive,1,,,6
2303,17512360,4292603,Inactive,6,,,1
2304,17512361,4689210,Inactive,36,,,-29
2305,17512362,2728967,Inactive,7,,,0
2306,17512364,1867783,Inactive,37,,,-30
2307,17512372,5238634,Inactive,1,,,8
2308,17512373,2817835,Inactive,3,,,10
2309,17512375,135399028,Inactive,10,,,-3
2310,17512384,919629,Inactive,10,,,-3
2311,17512396,1963578,Inactive,9,,,-2
2312,17512400,4887792,Inactive,8,,,-1
2313,17512519,4216298,Inactive,10,,,-3
2314,17512527,9653411,Inactive,16,,,-9
2315,17512547,4130603,Inactive,19,,,-12
2316,17512584,9628881,Inactive,45,,,52
2317,17512587,931282,Inactive,24,,,31
2318,17512614,6881583,Inactive,9,,,-2
2319,17512634,12005652,Inactive,10,,,-3
2320,17512655,6866980,Inactive,6,,,1
2321,17512662,1872760,Inactive,5,,,12
2322,17512663,5913801,Inactive,2,,,5
2323,17512678,135517097,Inactive,7,,,0
2324,17512685,5514837,Inactive,12,,,-5
2325,17512691,1888321,Inactive,13,,,-6
2326,17512700,6868113,Inactive,4,,,3
2327,17512714,9676690,Inactive,31,,,38
2328,17512718,1851747,Inactive,9,,,-2
2329,17512723,12005662,Inactive,2,,,5
2330,17512732,1953735,Inactive,4,,,3
2331,17512735,6882718,Inactive,5,,,12
2332,17512742,4897007,Inactive,5,,,2
2333,17512745,921753,Inactive,2,,,5
2334,17512761,7370913,Inactive,6,,,1
2335,17512763,921219,Inactive,16,,,-9
2336,17512765,3431642,Inactive,16,,,-9
2337,17512768,5758952,Inactive,7,,,0
2338,17512785,1861861,Inactive,8,,,-1
2339,17512795,1917712,Inactive,8,,,-1
2340,17512797,4429863,Inactive,6,,,1
2341,17512832,9637037,Inactive,0,,,7
2342,17512838,9638570,Inactive,49,,,56
2343,17512849,5521555,Inactive,9,,,-2
2344,17512855,6869952,Inactive,6,,,1
2345,17512869,979779,Inactive,5,,,2
2346,17512882,9665912,Inactive,24,,,31
2347,17512886,697239,Inactive,30,,,37
2348,17512897,4977629,Inactive,4,,,3
2349,17512902,3733225,Inactive,11,,,-4
2350,17512906,3682085,Inactive,5,,,2
2351,17512916,7420485,Inactive,12,,,-5
2352,17512924,135517108,Inactive,3,,,4
2353,17512925,135517109,Inactive,8,,,-1
2354,17512927,3837661,Inactive,1,,,6
2355,17512934,6878130,Inactive,7,,,0
2356,17512939,5609660,Inactive,13,,,-6
2357,17512941,949026,Inactive,4,,,3
2358,17512943,5608852,Inactive,7,,,0
2359,17512945,930004,Inactive,32,,,39
2360,17512946,6273819,Inactive,6,,,1
2361,17512953,6181653,Inactive,9,,,16
2362,17512958,944164,Inactive,13,,,20
2363,17512965,9629226,Inactive,4,,,11
2364,17512967,3742880,Inactive,5,,,2
2365,17512976,3409842,Inactive,10,,,-3
2366,17512982,6111071,Inactive,4,,,3
2367,17512985,12005677,Inactive,10,,,-3
2368,17512987,3749078,Inactive,14,,,-7
2369,17512988,1184206,Inactive,4,,,3
2370,17512995,12005678,Inactive,12,,,19
2371,17512996,12005679,Inactive,20,,,27
2372,17512998,12005680,Inactive,11,,,18
2373,17512999,12005681,Inactive,9,,,16
2374,17513001,2044098,Inactive,11,,,-4
2375,17513012,951364,Inactive,4,,,3
2376,17513032,579556,Inactive,5,,,12
2377,17513046,1954239,Inactive,2,,,9
2378,17513053,1932779,Inactive,5,,,2
2379,17513062,12005688,Inactive,29,,,36
2380,17513065,1424829,Inactive,6,,,1
2381,17513079,4662272,Inactive,10,,,-3
2382,17513087,1965120,Inactive,9,,,-2
2383,17513090,135517111,Inactive,5,,,2
2384,17513092,6881167,Inactive,16,,,-9
2385,17513094,752053,Inactive,6,,,1
2386,17513098,1856906,Inactive,13,,,-6
2387,17513100,1969131,Inactive,3,,,4
2388,17513103,5881092,Inactive,9,,,-2
2389,17513104,12005692,Active,69,,Activator,76
2390,17513107,1854612,Inactive,5,,,2
2391,17513112,828463,Inactive,5,,,2
2392,17513116,2014540,Inactive,18,,,-11
2393,17513128,5143081,Inactive,7,,,0
2394,17513137,939827,Inactive,2,,,5
2395,17513142,6888132,Inactive,6,,,1
2396,17513144,9665324,Inactive,3,,,4
2397,17513148,750959,Inactive,11,,,-4
2398,17513150,1881300,Inactive,17,,,-10
2399,17513156,12005695,Inactive,5,,,2
2400,17513157,1937691,Inactive,15,,,-8
2401,17513158,12005696,Inactive,8,,,-1
2402,17513162,1901430,Inactive,10,,,-3
2403,17513188,1875186,Inactive,9,,,-2
2404,17513215,3504925,Inactive,6,,,1
2405,17513216,1879980,Inactive,6,,,1
2406,17513228,3706839,Inactive,3,,,4
2407,17513259,1989910,Inactive,15,,,-8
2408,17513272,1964819,Inactive,4,,,11
2409,17513273,2364415,Inactive,8,,,-1
2410,17513296,135517121,Inactive,12,,,-5
2411,17513306,6863369,Inactive,11,,,-4
2412,17513308,135517123,Inactive,9,,,-2
2413,17513353,1417445,Inactive,10,,,-3
2414,17513354,1553782,Inactive,14,,,-7
2415,17513374,12005712,Inactive,5,,,2
2416,17513375,1980258,Inactive,5,,,2
